category,product,gross_sale,qty,month,class
None,Plain Rice,9.99,1,5,3
Spices,S Memoni Muttton Biryani,13.05,9,5,1
Fish,Chapila,4.89,1,5,1
Fish,Taposhi 250,4.49,1,5,1
Fish,Long Baim,10.99,1,5,1
Chicken,Whole Chicken Off Skin,25.21,7.64,5,1
Fish,Kakila,8.99,1,5,1
None,Plain Rice,3.49,1,5,3
Frozen,Seem Seeds,9.98,2,5,1
Fish,Shoil,19.47,3.25,5,1
Grocery,R mustard Oil 500 Ml,3.99,1,5,1
Chicken,Hard Chicken ,21,3,5,2
Beef Share,Beef Share 30 Lb,120,1,5,2
Ready Made Food,Chicken Somucha,4,1,5,3
Ready Made Food,Veg Somucha,1.25,1,5,3
Ready Made Food,Chicken Somucha,4,1,5,3
Ready Made Food,Veg Somucha,2.5,2,5,1
Goat,Goat Chop,44.57,5.25,5,1
Fresh Vegitable,Sim ,7.53,1.51,5,3
Fresh Vegitable,Sim ,6.49,1.3,5,3
None,Plain Rice,3.49,1,5,3
None,Plain Rice,3.49,1,5,3
Sweet,Golab Jaman,4.63,0.58,5,1
Chicken,Chicken Leg,16.26,7.78,5,3
Grocery,Potato Chip,1.98,2,5,1
Grocery,Marie Lite Priyagold 100 G,1.49,1,5,1
